# fetched_at	origin_slug	destination_slug	travel_date	operator	price_bob	currency	source
2026-06-28T06:00:00Z	santa-cruz	tarija	2026-07-01	SAMA	265.00	BOB	manual-seed
2026-06-28T06:00:00Z	santa-cruz	tarija	2026-07-01	Trans Copacabana	290.00	BOB	manual-seed
2026-06-29T06:00:00Z	santa-cruz	tarija	2026-07-02	SAMA	250.00	BOB	manual-seed
2026-06-29T06:00:00Z	santa-cruz	tarija	2026-07-02	Trans Copacabana	275.00	BOB	manual-seed
2026-06-30T06:00:00Z	santa-cruz	tarija	2026-07-03	SAMA	240.00	BOB	manual-seed
2026-06-30T06:00:00Z	santa-cruz	tarija	2026-07-03	Trans Copacabana	260.00	BOB	manual-seed
2026-07-01T06:00:00Z	santa-cruz	tarija	2026-07-04	SAMA	255.00	BOB	manual-seed
2026-07-01T06:00:00Z	santa-cruz	tarija	2026-07-04	Trans Copacabana	280.00	BOB	manual-seed
2026-07-02T06:00:00Z	santa-cruz	tarija	2026-07-05	SAMA	230.00	BOB	manual-seed
2026-07-02T06:00:00Z	santa-cruz	tarija	2026-07-05	Trans Copacabana	250.00	BOB	manual-seed
2026-07-03T06:00:00Z	santa-cruz	tarija	2026-07-06	SAMA	245.00	BOB	manual-seed
2026-07-03T06:00:00Z	santa-cruz	tarija	2026-07-06	Trans Copacabana	265.00	BOB	manual-seed
2026-07-04T06:00:00Z	santa-cruz	tarija	2026-07-07	SAMA	220.00	BOB	manual-seed
2026-07-04T06:00:00Z	santa-cruz	tarija	2026-07-07	Trans Copacabana	240.00	BOB	manual-seed
2026-07-05T06:00:00Z	santa-cruz	tarija	2026-07-08	SAMA	235.00	BOB	manual-seed
2026-07-05T06:00:00Z	santa-cruz	tarija	2026-07-08	Trans Copacabana	255.00	BOB	manual-seed
2026-07-06T06:00:00Z	santa-cruz	tarija	2026-07-09	SAMA	210.00	BOB	manual-seed
2026-07-06T06:00:00Z	santa-cruz	tarija	2026-07-09	Trans Copacabana	230.00	BOB	manual-seed
